name	id	iso3166_1_alpha2	iso3166_1_shortname	fips10_4	capital	fifa_code	iso_numeric	iso_alpha_3	administrative_divisions	currency_used	official_language	gdp_nominal	gdp_nominal_per_capita	internet_tld	languages_spoken	form_of_government	national_anthem	currency_formerly_used	calling_code
Kingdom of Scotland	/m/025ndl				Scone,Edinburgh														
Nairobi	/m/05d49																		
Isle of Man	/m/03t1s		ISLE OF MAN	IM	Douglas					UK £,Manx pound	English Language,Manx Language			im	English Language,Manx Language,British English	Constitutional monarchy,Parliamentary system			
Government of Abkhazia-in-exile	/m/0fsx89															Government in exile			
Canada	/m/0d060g		CANADA	CA	Ottawa				Yukon,Newfoundland and Labrador,Manitoba,Alberta,Nunavut,Squamish Nation,New Brunswick,Ontario,Northwest Territories,Québec,British Columbia,Nova Scotia,Prince Edward Island,Saskatchewan	Canadian dollar	French Language,English Language			ca	Italian Language,English Language,Punjabi language,Tagalog language,Spanish Language,Greek Language,Vietnamese Language,Arabic Language,Portuguese Language,Tamil Language,Russian Language,Romanian Language,Persian Language,Korean Language,Urdu Language,Canadian English,Canadian French,Polish Language,Gujarati Language,Chinese language,German Language	Constitutional monarchy,Parliamentary system	/m/0478l5c		1
Venezuela	/m/07ylj		VENEZUELA	VE	Caracas				Anzoátegui,Falcón,Bolívar,Miranda,Trujillo,Barinas,Mérida,Táchira,Monagas,Amazonas,Yaracuy,Nueva Esparta,Aragua,Venezuelan Capital District,Lara,Cojedes,Zulia,Federal dependencies,Guárico,Sucre,Federal dependencies of Venezuela,Vargas,Apure,Portuguesa,Delta Amacuro,Carabobo	Venezuelan bolívar	Spanish Language			ve		Presidential system,Federal republic,Republic	/m/0d9f0qw		
Dual monarchy of England and France	/m/05zth5b																		
Bahrain	/m/0161c		BAHRAIN	BA	Manama				Madinat 'Isa,Manama,Hawar Islands,Al Gharbiyah Region,Madinat Hamad,Sitrah,Al Muharraq,Ar Rifa' wa al Mintaqah al Janubiyah,Al Wusta Region,Jidd Haffs,Al Hidd,Ash Shamaliyah Region	Bahraini dinar	English Language,Arabic Language			bh	Persian Language,Arabic Language	Monarchy,Constitutional monarchy		Indian rupee	
Duchy of Normandy	/m/021dh6																		
Greece	/m/035qy		GREECE	GR	Athens				Imathia Prefecture,Florina Prefecture,Cyclades,Euboea,Pieria,Dodecanese,Drama Prefecture,Heraklion,Trikala Prefecture,Kavala Prefecture,Phthiotis,Larissa Prefecture,Chalcidice,Heraklion Prefecture,Messenia,Elis Prefecture,Arcadia,Rhodope Prefecture,Piraeus Prefecture,Thesprotia,Kilkis Prefecture,Xanthi Prefecture,Preveza Prefecture,Boeotia Prefecture,Boeotia,Lefkada,Kastoria Prefecture,Phocis,Kefalonia,Corfu,Achaea,Magnesia,Laconia,Arta Prefecture,Aetolia-Acarnania,Evros Prefecture,Argolis,Grevena Prefecture,Chania Prefecture,Lesbos Prefecture,Lasithi,Corinthia,Chios,Pella Prefecture,Ioannina Prefecture,Karditsa Prefecture,Samos Prefecture,Pella,Thessaloniki Prefecture,Attica,Serres Prefecture,Evrytania,Zakynthos,Rethymno Prefecture,Kozani Prefecture,Mount Athos	Greek drachma,Euro	Greek Language			gr	Greek Language	Parliamentary republic	/m/0d9d9jk	Greek drachma	
Iceland	/m/03rj0		ICELAND	IC	Reykjavik				Suðurland,Vesturland,Suðurnes,Norðurland eystra,Westfjords,Norðurland vestra,Greater Reykjavík Area,Austurland	Icelandic króna	Icelandic Language			is	Icelandic Language	Parliamentary republic	/m/0d8bk2z		
Brunei	/m/0167v		BRUNEI DARUSSALAM	BX	Bandar Seri Begawan					Brunei dollar	Malay Language,English Language			bn	Nepali Language,English Language	Absolute monarchy,Monarchy			
Anguilla	/m/0n3g		ANGUILLA	AV	The Valley					East Caribbean dollar	English Language			ai	English Language				1
Western Roman Empire	/m/02jbz2				Milan,Ravenna														
Monaco	/m/04w58		MONACO	MN						Euro	Italian Language,Monégasque language,French Language			mc	Occitan language,French Language	Constitutional monarchy,Principality,Monarchy		French franc,Monegasque franc	
Swaziland	/m/06v36		SWAZILAND	WZ	Lobamba,Mbabane				Hhohho,Shiselweni,Lubombo,Manzini District	Swazi lilangeni	Swati Language,Zulu Language,English Language			sz	English Language	Monarchy,Absolute monarchy,Diarchy			
Tanzania	/m/07dzf		"TANZANIA, UNITED REPUBLIC OF"	TZ	Dodoma,Dar es Salaam				Tanga Region,Lindi,Zanzibar,Dodoma Region,Mwanza,Mtwara,Rukwa Region,Manyara Region,Zanzibar Central/South Region,Mara Region,Pemba North Region,Zanzibar North Region,Kigoma,Dar es Salaam,Pemba South Region,Tabora,Mbeya,Kondoa,Ruvuma Region,Mount Kilimanjaro,Zanzibar Urban/West Region,Shinyanga,Arusha,Iringa,Singida,Kagera Region,Pwani Region,Morogoro	East African shilling,Tanzanian shilling	English Language,Swahili Language			tz	Swahili Language,English Language,Maasai Language,Ngasa Language,Arabic Language	Republic	/m/049ygf7		255
Presidencies of British India	/m/02660pr				Delhi				Upper Burma,North-West Frontier Province,United Provinces of Agra and Oudh,Bombay Presidency,Central Provinces and Berar,Lower Burma,Madras Presidency,Ajmer-Merwara,Punjab,Bengal Presidency							Colonialism			
New Kingdom	/m/02sl7g				Thebes,Amarna														
Neustria	/m/0kjkd																		
Ancient Greece	/m/0hkt6																		
Hungary.	/m/05xf2d3																		
Oman	/m/05l8y		OMAN	MU	Muscat				Ad Dhahirah,Al Batinah Region,Dhofar,Ash Sharqiyah Region,Al Wusta Region,Ad Dakhiliyah Region,Muscat,Musandam,Al Buraymi	Omani rial	Arabic Language			om	Persian Language,Arabic Language	Constitutional monarchy,Absolute monarchy,Monarchy		Indian rupee	
Czechoslovakia	/m/01mk6				Prague												/m/0d9dgnx		
Comoros	/m/01n6c		COMOROS	CN	Moroni				Grande Comore,Mohéli,Anjouan	Comorian franc	Arabic Language,Comorian language,Swahili Language,French Language			km	French Language	Federal republic			
Vietnam	/m/01crd5		VIET NAM	VM	Hanoi				Cao Bang Province,Quang Ngai Province,Nam Dinh Province,Dong Thap Province,Khanh Hoa Province,Vinh Long Province,Quang Tri Province,Ho Chi Minh City,Ba Ria-Vung Tau Province,Quang Nam Province,Soc Trang Province,Lam Dong Province,Lai Chau Province,Kien Giang Province,Dak Lak Province,Ha Tinh Province,Dong Nai Province,Vinh Phuc Province,Song Be Tinh,Long An Province,Hanoi,Ninh Bình Province,Binh Dinh Province,Binh Duong Province,Tien Giang Province,Tra Vinh Province,Minh Hai Tinh,Ha Tay Province,Bac Thai Tinh,Binh Phuoc Province,Da Nang,Ben Tre Province,Nghe An Province,Lao Cai Province,Dak Nong Province,Bac Ninh Province,Bac Kan Province,Dien Bien Province,An Giang Province,Phu Yen Province,Thua Thien-Hue Province,Quang Binh Province,Haiphong,Hai Duong Province,Ca Mau Province,Ninh Thuan Province,Thanh Hoa Province,Quang Ninh Province,Hung Yen Province,Bac Lieu Province,Son La Province,Lang Son Province,Thai Nguyen Province,Ha Giang Province,Hau Giang Province,Bac Giang Province,Yen Bai Province,Binh Thuan Province,Hai Hung Tinh,Tuyen Quang Province,Kon Tum Province,Tay Ninh Province,Can Tho,Gia Lai Province,Ha Bac Tinh,Ha Nam Province,Hoa Binh Province,Phu Tho Province,Thai Binh Province	Vietnamese dong	Vietnamese Language			vn	Esperanto Language	Single-party state,Dictatorship,Socialist state,Communist state	/m/0478l64		
Mercia	/m/09n_7				Tamworth,Repton														
Dahomey	/m/02fdq				Abomey														
Kingdom of Bavaria	/m/02vkbz_																		
Palestinian territories	/m/0nyg5									Israeli new sheqel									
Republic of South Vietnam	/m/0hv_0				Ho Chi Minh City														
Grand Duchy of Lithuania	/m/021hd9																		
Russian Soviet Federative Socialist Republic	/m/01mzwp																/m/0d7qjyj		
Ptolemaic Egypt	/m/06zddj																		
Kingdom of Hawaii	/m/01hlvc				Honolulu,Lahaina												/m/0d1xb3q,/m/0d1xb3z,/m/0d1x6jy		
Benin	/m/0164v		BENIN	BN	Porto-Novo				Littoral Department,Zou Department,Mono Department,Kouffo Department,Borgou Department,Plateau Department,Alibori Department,Atakora Department,Collines Department,Donga Department,Atlantique Department,Ouémé Department	West African CFA franc,CFA franc	French Language			bj	Fon language,Yoruba Language,Esperanto Language,Fula language,French Language	Republic	/m/0g51qc0		229
Tuvinian People's Republic	/m/01dfxs									Tuvan akşa									
Mali	/m/04v09		MALI	ML	Bamako				Kidal Region,Tombouctou Region,Kayes Region,Bamako,Gao Region,Mopti Region,Ségou Region,Koulikoro Region,Sikasso Region	Malian franc,CFA franc,West African CFA franc	Bambara language,French Language			ml	Fula language,French Language	Republic,Semi-presidential system		Malian franc	
The Gambia	/m/0hdx8		GAMBIA	GA	Banjul				Banjul,Central River Division,North Bank Division,Western Division,Upper River Division,Lower River Division	Gambian dalasi	English Language			gm	Fula language,English Language	Republic			
Cape Verde	/m/01nqj		CAPE VERDE	CV	Praia				São Miguel, Cape Verde,Santa Cruz, Cape Verde,Ribeira Grande, Cape Verde,Porto Novo, Cape Verde,São Filipe,Sal,Tarrafal, Cape Verde,São Domingos,Maio,Praia,Brava,Paul, Cape Verde,Santa Catarina, Cape Verde,Mosteiros, Cape Verde,São Nicolau,São Vicente,Boa Vista	Cape Verdean escudo	Portuguese Language			cv	Portuguese Language	Republic			
Burkina Faso	/m/01699		BURKINA FASO	UV	Ouagadougou				Loroum Province,Zoundwéogo,Namentenga,Boulgou,Oubritenga,Ziro,Séno Province,Kouritenga,Banwa,Yatenga,Passoré,Oudalan,Tapoa Province,Kompienga,Ioba,Zondoma,Soum,Boulkiemdé,Noumbiel,Comoé Province,Yagha,Sanguié,Mouhoun Province,Nayala Province,Kourwéogo,Bougouriba,Sissili,Sourou Province,Ganzourgou,Koulpélogo,Houet,Gourma,Poni,Balé,Tuy,Bazéga,Kénédougou,Kossi Province,Bam,Sanmatenga,Komondjari,Kadiogo,Gnagna,Nahouri,Léraba	West African CFA franc	French Language			bf	French Language,Fula language	Republic,Semi-presidential system	/m/0d8rsxq		
Bohemia	/m/01d8l																		
Kingdom of Ireland	/m/016jz3				Dublin														
Nigeria	/m/05cgv		NIGERIA	NI	Abuja				Ogun State,Borno State,Katsina State,Taraba State,Oyo State,Benue State,Niger State,Gombe State,Sokoto State,Kebbi State,Bauchi State,Yobe State,Rivers State,Federal Capital Territory,Ondo State,Delta State,Edo State,Zamfara State,Cross River State,Ebonyi State,Adamawa State,Abia State,Nasarawa State,Enugu State,Kogi State,Plateau State,Jigawa State,Ekiti State,Lagos State,Kano State,Imo State,Osun State,Kwara State,Akwa Ibom,Bayelsa State,Kaduna State,Anambra State	Nigerian pound,Nigerian naira	English Language,Pidgin, Nigerian Language,Hausa Language,Yoruba Language,Igbo Language			ng	Idoma Language,Pidgin, Nigerian Language,Efik Language,Igala Language,Nupe language,Kanuri language,Kalabari Language,Hausa Language,Naki Language,Izon Language,Fula language,Gbagyi Language,English Language,Ibibio Language,Edo Language,Yoruba Language,Tiv Language,Igbo Language	Federal republic,Presidential system		Nigerian pound	
Slovenia	/m/06t8v		SLOVENIA	SI	Ljubljana				Hrastnik,Žalec,Borovnica,Moravče,Braslovče,Dolenjske Toplice,Ig,Dol pri Ljubljani,Litija,Lenart,Logatec,Podvelka,Dobrova-Polhov Gradec,Trbovlje,Kranjska Gora,Kidričevo,Slovenske Konjice,Ribnica,Novo Mesto,Grad,Mežica,Juršinci,Radenci,Duplek,Miren-Kostanjevica,Dobrepolje,Sevnica,Pesnica,Ljutomer,Železniki,Vipava,Miklavž na Dravskem polju,Kanal ob Soči,Škofljica,Benedikt,Moravske Toplice,Kungota,Vuzenica,Rače-Fram,Koper - Capodistria,Ajdovščina,Tabor,Medvode,Škofja Loka,Puconci,Šentjernej,Kuzma,Rogaška Slatina,Naklo, Slovenia,Kamnik,Selnica ob Dravi,Radlje ob Dravi,Sveta Ana,Bloke,Brda,Odranci,Ivančna Gorica,Loška Dolina,Tolmin,Gorenja vas-Poljane,Bled,Slovenska Bistrica,Šalovci,Šentjur pri Celju,Komenda,Jesenice,Prebold,Šmartno ob Paki,Sežana,Metlika,Slovenj Gradec,Domžale,Mozirje,Žiri,Muta,Dobrna,Sodražica,Kočevje,Žetale,Križevci,Cerklje na Gorenjskem,Šenčur,Črenšovci,Cankova,Izola,Komen,Velika Polana,Prevalje,Zagorje ob Savi,Luče,Radeče,Vitanje,Žužemberk,Podlehnik,Jezersko, Slovenia,Križevci,Gorišnica,Brezovica Municipality,Velenje,Laško,Trzin,Turnišče,Idrija,Kozje,Veržej,Lovrenc na Pohorju,Oplotnica,Sveti Jurij,Šmartno pri Litiji,Sveti Andraž v Slovenskih goricah,Dornava,Videm,Solčava,Dobrovnik,Beltinci,Vransko,Starše,Ruše,Destrnik,Ormož,Podčetrtek,Žirovnica,Kostel,Majšperk,Osilnica,Šentilj,Vrhnika,Bistrica ob Sotli,Trnovska vas,Zavrč,Ptuj,Šmarje pri Jelšah,Ilirska Bistrica,Šempeter-Vrtojba,Grosuplje,Lukovica,Mirna Peč,Razkrižje,Cerkvenjak,Polzela,Kranj,Črna na Koroškem,Mislinja,Trebnje,Štore,Rogatec,Vojnik,Hajdina,Murska Sobota,Hodoš,Gornji Petrovci,Škocjan,Piran,Tržič,Postojna,Nova Gorica,Rogašovci,Ravne na Koroškem,Radovljica,Hrpelje-Kozina,Horjul,Markovci,Cerknica,Velike Lašče,Loški Potok,Gornja Radgona,Vodice,Tišina,Bohinj,Hoče-Slivnica,Maribor,Šoštanj,Kobarid,Mengeš,Dobje,Divača,Semič,Bovec,Zreče,Črnomelj,Lendava,Kobilje,Cerkno,Krško,Ribnica na Pohorju,Dravograd,Brežice,Ljubljana,Nazarje,Gornji Grad,Pivka,Celje,Preddvor,Ljubno	Euro,Slovenian tolar	Slovenian language			si		Parliamentary republic		Slovenian tolar	
Kingdom of Italy	/m/02psqkz				Rome,Turin,Florence													Italian lira	
Judea	/m/0kf0p																		
Clipperton Island	/m/01p62			IP						Euro	French Language								
Solomon Islands	/m/01n8qg		SOLOMON ISLANDS	BP	Honiara				Rennell and Bellona,Western Province,Choiseul Province,Central Province	Solomon Islands dollar	English Language,Pijin Language			sb	English Language	Constitutional monarchy			
Panama	/m/05qx1		PANAMA	PM	Panama City				Colón Province,Los Santos Province,Veraguas Province,Darién Province,Herrera Province,Bocas del Toro Province,Kuna Yala,Panamá Province,Coclé Province,Chiriquí Province	US$,Panamanian balboa	Spanish Language			pa	Spanish Language	Constitutional democracy			
Republic of Venice	/m/02wm6l				Venice,Eraclea														
Serbian Principality	/m/0821k6				Belgrade,Kragujevac														
Assyria	/m/0wmn														Akkadian language				
Bavaria	/m/017v_																		
Federation of Malaya	/m/01s8rk																		
Cook Islands	/m/020p1		COOK ISLANDS	CW	Avarua					New Zealand dollar,New Zealand pound,Cook Islands dollar	Rarotongan Language,English Language			ck		Constitutional monarchy		New Zealand pound	
Nepal	/m/016zwt		NEPAL	NP	Kathmandu				Mechi Zone,Koshi Zone,Rapti Zone,Bagmati Zone,Lumbini Zone,Narayani Zone,Seti Zone,Sagarmatha Zone,Dhaulagiri Zone,Janakpur Zone,Kernali Zone,Gandaki Zone,Bheri Zone,Mahakali Zone	Nepalese rupee	Nepali Language			np	Nepali Language,Mundari Language,Magar, Eastern Language,Tharu, Dangaura Language,Hindi Language,Tamang language,Maithili Language,Bhojpuri Language,Awadhi Language,Newar Language	Republic,Federal republic	/m/079z2mb		
Sweden	/m/0d0vqn		SWEDEN	SW	Stockholm				Uppsala County,Kronoberg County,Halland County,Västernorrland County,Norrbotten County,Västmanland County,Gotland County,Skåne County,Örebro County,Blekinge County,Jönköping County,Värmland County,Dalarna County,Gävleborg County,Östergötland County,Södermanland County,Västra Götaland County,Stockholm County,Kalmar County,Västerbotten County,Jämtland County	Swedish krona	Swedish Language			se	Swedish Language,Finnish Language	Constitutional monarchy,Parliamentary system,Monarchy	/m/052krmn,/m/052krmy	Swedish riksdaler	46
Wallachia	/m/0cgs4				Curtea de Argeş,Bucharest,Câmpulung,Târgovişte														
Mongolia	/m/04w8f		MONGOLIA	MG	Ulaanbaatar				Bulgan Province,Selenge Province,Orhon Province,Govĭsümber Province,Dornogovi Province,Govi-Altay Province,Hovd Province,Sühbaatar Province,Arhangay Province,Bayanhongor Province,Zavhan Province,Darhan-Uul Province,Hövsgöl Province,Dundgovĭ Province,Bayan-Ölgiy Province,Övörhangay Province,Töv Province,Dornod Province,Ömnögovi Province,Darhan,Ulaanbaatar,Uvs Province,Hentiy Province	Mongolian tögrög	Mongolian language			mn	Kazakh Language,Tuvin Language	Semi-presidential system,Parliamentary republic	/m/0bwnx8x		
Malacca Sultanate	/m/015n7b																		
Kingdom of Travancore	/m/0153fg				Thiruvananthapuram,Padmanabhapuram														
Côte d'Ivoire	/m/0fv4v		COTE D'IVOIRE	IV	Politique,Abidjan,Yamoussoukro				Moyen-Comoé,Vallée du Bandama,Agnéby,Sud-Comoé,Savanes,Worodougou,Bas-Sassandra,Bafing,Sud-Bandama,Haut-Sassandra,Denguélé,Lagunes,Marahoué,Moyen-Cavally,Fromager,N'zi-Comoé,Zanzan,Dix-Huit Montagnes,Lacs	CFA franc,West African CFA franc	French Language			ci	Fula language,French Language	Semi-presidential system,Republic			
New France	/m/0152tq				Quebec City														
Lordship of Ireland	/m/016t0_				Carlow,Dublin														
Turkmenistan	/m/01c4pv		TURKMENISTAN	TX	Aşgabat				Ahal Province,Dashhowuz Province,Mary Province,Balkan Province,Lebap Province	Turkmenistani manat	Turkmen Language			tm		Parliamentary republic,Dictatorship,Presidential system,Single-party state			
Republic of Upper Volta	/m/0bpc2																		
Turks and Caicos Islands	/m/07fr_		TURKS AND CAICOS ISLANDS	TK	Cockburn Town					US$	English Language			tc	English Language				
Martinique	/m/04vg8		MARTINIQUE	MB	Fort-de-France				Martinique	Euro									
Brazilian Empire	/m/01nr2h																/m/0d8nn14		
Cambodia	/m/01xbgx		CAMBODIA	CB	Phnom Penh				Banteay Meanchey,Stung Treng Province,Kep, Cambodia,Takéo Province,Kandal Province,Kampong Thom Province,Pailin,Sihanoukville,Prey Veng Province,Kampot Province,Battambang Province,Kampong Speu Province,Svay Rieng Province,Preah Vihear Province,Phnom Penh,Kratié Province,Pursat Province,Kampong Chhnang Province,Siem Reap Province,Ratanakiri,Mondulkiri,Oddar Meancheay,Kampong Cham Province,Koh Kong Province	Cambodian riel,Cambodian franc	Khmer language			kh	Khmer language,Cambodian French,French Language	Representative democracy,Constitutional monarchy,Parliamentary system,Monarchy	/m/0d8r_bd	Cambodian franc	855
Nashville	/m/05jbn																		
Georgia	/m/0d0kn		GEORGIA	GG	Tbilisi				Samegrelo-Zemo Svaneti,Mtskheta-Mtianeti,Tbilisi,Imereti,Kvemo Kartli,Adjara,Guria,Samtskhe-Javakheti,Racha-Lechkhumi and Kvemo Svaneti,Kakheti,Chiatura,Shida Kartli,Abkhazia	Georgian lari,Russian ruble	Georgian Language			ge	Georgian Language,Abkhaz Language,Russian Language	Republic,Semi-presidential system	/m/0d9g8f5,/m/04g5_9f,/m/0d9g8fg		995
Ethiopia	/m/019pcs		ETHIOPIA	ET	Addis Ababa				Afar Region,Southern Nations, Nationalities, and People's Region,Tigray Region,Addis Ababa,Dire Dawa,Gambela Region,Amhara Region,Oromia Region,Benishangul-Gumaz Region,Welega Province,Harari Region,Somali Region	Ethiopian birr	Amharic Language			et	Sidamo Language,Suri Language,Kachama-Ganjule Language,Sheko Language,Gedeo language,Kistane Language,Bussa Language,Murle Language,Baiso Language,Hadiyya Language,Chara Language,Daasanach Language,Boro Language,Berta Language,Karo Language,Zayse-Zergulla Language,Gawwada Language,Anfillo Language,Seze Language,Basketo Language,Nyangatom Language,Kafa Language,Ganza Language,Somali Language,Libido Language,Saho language,Bambassi Language,Dorze Language,Afar Language,Komo Language,Gumuz Language,Muher language,Me'en Language,Tigrigna Language,Hozo Language,Kacipo-Balesi Language,Yemsa Language,Awngi Language,Koorete Language,Oyda Language,Tsamai Language,Bench Language,Arbore Language,Kwama Language,Shekkacho Language,Shabo Language,Melo Language,Gamo-Gofa-Dawro Language,Zay Language,Dizi Language,Anuak Language,Burji language,Majang language,Hamer-Banna Language,English Language,Kwegu Language,Wolaytta Language,Tigre language,Alaba Language,Xamtanga Language,Male Language,Harari Language,Dirasha Language,Inor language,Silt'e Language,Oromo language,Dime Language,Chaha language,Uduk Language,Turkana Language,Amharic Language,Nuer Language,Argobba language,Kambaata,Konso language,Qimant language,Opuuo Language,Mesqan Language,Nayi Language,Aari Language,Kunfal Language,Mursi Language	Dictatorship,Parliamentary republic,Federal republic			
Frankish Empire	/m/01s5vl																		
Svalbard and Jan Mayen	/m/01glxj																		
Kingdom of Greece	/m/088q1s				Athens					Greek drachma	Greek Language				Greek Language	Parliamentary Democracy,Absolute monarchy,Constitutional monarchy	/m/0djy8_0		
Kingdom of Galicia	/m/091kpm																		
Tajikistan	/m/07dvs		TAJIKISTAN	TI	Dushanbe				Qurghonteppa Oblast,Khatlon,Sughd,Gorno-Badakhshan Autonomous Province	Tajikistani somoni	Persian Language,Russian Language,Tajiki Language			tj	Persian Language	Presidential system,Semi-presidential system		Tajikistani ruble	
Switzerland	/m/06mzp		SWITZERLAND	SZ	Berne				Canton of Vaud,Canton of Zürich,Aarau,Canton of Jura,Canton of Schwyz,Basel-Country,Canton of Neuchâtel,Canton of Graubünden,Basel-City,Canton of Obwalden,Canton of Lucerne,Canton of Thurgau,Canton of Berne,Canton of Geneva,Canton of Nidwalden,Canton of Fribourg,Canton of Solothurn,Canton of Schaffhausen,Canton of Aargau,Canton of Glarus,Appenzell Innerrhoden,Canton Ticino,Canton of Valais,Appenzell Ausserrhoden,Canton of Zug,Canton of Uri,Canton of St. Gallen	Swiss franc	Romansh language,French Language,Italian Language,German Language,Schwyzerdütsch Language			ch	French Language,Italian Language,German Language	Parliamentary system,Parliamentary republic,Federation,Federal republic,Direct democracy			41
Czech Republic	/m/01mjq		CZECH REPUBLIC	EZ	Prague				Vysočina Region,Hradec Králové Region,Zlín Region,Ústí nad Labem Region,Plzeň Region,Prague,South Bohemian Region,South Moravian Region,Carlsbad Region,Moravian-Silesian Region,Olomouc Region,Central Bohemian Region,Pardubice Region,Liberec Region	Czech koruna,CZK	Bulgarian Language,Russian Language,Czech Language,Ukrainian Language,Serbian language,Rusyn Language,Croatian language,Hungarian,Greek Language			cz		Parliamentary republic	/m/0d9dds0	Czechoslovak koruna	
Baden	/m/018w10				Karlsruhe,Baden-Baden														
Cuba	/m/0d04z6		CUBA	CU	Havana				Ciego de Ávila Province,Camagüey Province,Matanzas Province,Cienfuegos Province,Holguín Province,Granma Province,Santiago de Cuba Province,Las Tunas Province,Guantánamo Province,Isle of Youth,La Habana Province,Pinar del Río Province,Sancti Spíritus Province,Havana,Villa Clara Province	US$,Cuban convertible peso,Cuban peso	Spanish Language			cu	Spanish Language	Single-party state,Communist state,Dictatorship,Socialist state	/m/048z_y1		
Yugoslavia	/m/087vz				Belgrade													Yugoslav dinar	
Paracel Islands	/m/05v0k			PF															
Suriname	/m/06nnj		SURINAME	NS	Paramaribo				Sipaliwini District,Saramacca District,Nickerie District,Wanica District,Coronie District,Brokopondo District,Para District,Marowijne District,Commewijne District,Paramaribo District	Suriname dollar,Dutch gulden,Surinamese gulden	Dutch Language,Sranan Tongo			sr	Dutch Language	Constitutional democracy	/m/0d9f0hy	Surinamese gulden	
Trinidad and Tobago	/m/09lxtg		TRINIDAD AND TOBAGO	TD	Scarborough,Port of Spain				Nariva,Saint Patrick,Saint David,Mayaro,Caroni,Port of Spain,San Fernando,Saint Andrew,Tobago,Saint George,Victoria,Arima	Trinidad and Tobago dollar	Spanish Language,English Language			tt	English Language	Parliamentary republic			
Argentina	/m/0jgd		ARGENTINA	AR	Buenos Aires				Santa Fe Province,General Roca Department,Comuna 7  (Buenos Aires),Neuquén Province,Comuna 11  (Buenos Aires),Comuna 3  (Buenos Aires),Catamarca Province,General Donovan Department,Comuna 14  (Buenos Aires),Yerba Buena Department,Choya Deparment,Chaco Province,Comuna 2  (Buenos Aires),Veinticinco de  Mayo Department,Buenos Aires Province,Copo Department,Comuna 15  (Buenos Aires),Córdoba Province,Pilcaniyeu department,Corrientes Province,Santa Cruz Province,San Lorenzo Department,Pichi Mahuida Department,La Rioja Province,Comuna 1  (Buenos Aires),Tierra del Fuego Province,Ezeiza Partido,Rancul  department,Buenos Aires,Comuna 10  (Buenos Aires),Tucumán Province,Comuna 12  (Buenos Aires),Salta Province,Comuna 9  (Buenos Aires),Comuna 6  (Buenos Aires),San Juan Province,La Pampa Province,Pellegrini Partido,Chubut Province,Mendoza Province,Formosa Province,Santiago del Estero Province,Lihuel Calel  department,Comuna 13  (Buenos Aires),Misiones Province,Comuna 8  (Buenos Aires),San Luis Province,Jujuy Province,Entre Ríos Province,Chicligasta Department,Río Negro Province,Comuna 5  (Buenos Aires),Comuna 4  (Buenos Aires)	Argentina peso ley,Argentinian Peso,Argentine peso argentino,Argentine real,Argentine peso	Spanish Language			ar	Yiddish Language,Spanish Language	Presidential system,Federal republic	/m/05bp619	Argentina peso ley	54
New York	/m/059rby																		
Northern Ireland	/m/05bcl				Belfast				Down District Council	UK £	Irish,English Language,Ulster Scots language			uk,ie	Gaelic	Constitutional monarchy			
Bermuda	/m/0165b		BERMUDA	BD	Hamilton				Sandys Parish,Warwick Parish,Paget Parish,Devonshire Parish,Hamilton Parish,Pembroke Parish, Bermuda,Smith's Parish,Southampton Parish,St. George's,St. George's Parish	Bermuda dollar,Bermuda pound	English Language			bm	English Language			Bermuda pound	
Campione d'Italia	/m/01_zlg									Swiss franc,Euro,Italian lira									
Russian Empire	/m/0cdbq				Saint Petersburg,Moscow														
Mesopotamia	/m/0524v																		
Nazi Germany	/m/059z0				Berlin,Flensburg														
Georgian SSR	/m/0247my																/m/0d9g9dz		
Kingdom of Romania	/m/01rdm0				Bucharest,Iași														
Islamic Emirate of Afghanistan	/m/01x31l																		
Marshall Islands	/m/04v6v		MARSHALL ISLANDS	RM						US$	Marshallese Language,English Language			mh	English Language	Republic,Presidential system,Representative democracy			
Vanuatu	/m/07z5n		VANUATU	NH	Port Vila				Penama Province,Pentecost Island,Shepherd Islands,Tafea Province,Ambrym,Malakula,Efate,Sanma Province,Shefa Province,Paama,Aoba/Maewo,Epi,Torba Province	Vanuatu vatu	French Language,English Language,Bislama Language			vu	Aneityum Language,Efate, North Language,Araki Language,Malekula Interior languages,Tanna, North Language,Mwotlap,Ambrym, North Language,South Vanuatu languages,Aulua Language,Northeast Vanuatu-Banks Islands languages,Central Vanuatu languages,English Language,Bislama Language,Ambrym, Southeast Language,French Language,Vatrata Language,Tanna, Southwest Language,Malekula Central languages,East Vanuatu languages,Malekula Coastal languages,Dakaka Language,Tanna languages,Epi languages	Parliamentary republic,Republic	/m/03k077l		678
West Bank	/m/082pc			WE						Jordanian dinar,Israeli new sheqel					Bedawi Arabic				
Tuvalu	/m/07fsv		TUVALU	TV	Funafuti				Nanumanga,Nukufetau,Nukulaelae,Niutao,Nui,Vaitupu,Nanumea,Funafuti	Tuvaluan dollar,Australian dollar	English Language,Tuvaluan Language			tv	Tuvaluan Language,Kiribati language,English Language	Constitutional monarchy,Representative democracy,Parliamentary system			688
Norfolk Island	/m/05cqm		NORFOLK ISLAND	NF	Kingston					Australian dollar	English Language,Norfuk language			nf					
Spanish Language	/m/06nm1																		
Singapore	/m/06t2t		SINGAPORE	SN	Singapore					Singapore dollar	Chinese language,English Language,Standard Mandarin,Tamil Language,Malay Language			sg	Tamil Language,English Language,Chinese language	Parliamentary republic			
