name	id	iso3166_1_alpha2	iso3166_1_shortname	fips10_4	capital	fifa_code	iso_numeric	iso_alpha_3	administrative_divisions	currency_used	official_language	gdp_nominal	gdp_nominal_per_capita	internet_tld	languages_spoken	form_of_government	national_anthem	currency_formerly_used	calling_code
Montenegro	/m/056vv			MJ	Podgorica					Euro	Croatian language,Albanian language,Bosnian language,Montenegrin language,Serbian language			yu,me		Parliamentary republic,Semi-presidential system,Republic		Yugoslav dinar	
Kuwait	/m/047yc		KUWAIT	KU	Kuwait City				Al Wafrah,Al Asimah,Al Jahra,Al Ahmadi	Kuwaiti dinar	Arabic Language,English Language			kw	Arabic Language	Monarchy,Emirate,Constitutional monarchy,Constitution		Indian rupee	
Columbus	/m/01smm																		
Homerton University Hospital	/m/0cj6_g																		
Roman Empire	/m/06cmp				Milan,Constantinople,Ravenna,Rome,İznik,Nicomedia				Hispania,Africa Proconsularis										
Southern Sudan	/m/05rznz									Sudanese pound									
Québec	/m/0694j																		
Kingdom of Bulgaria	/m/03bxbql				Sofia														
First French Empire	/m/01flgk																		
Swedish Empire	/m/01fvhp				Stockholm														
Norway	/m/05b4w		NORWAY	NO	Oslo				Finnmark,Sør-Trøndelag,Hedmark,Nord-Trøndelag,Svalbard and Jan Mayen,Østfold,Troms,Rogaland,Akershus,Nordland,Bouvet Island,Vest-Agder,Vestfold,Oslo,Hordaland,Sogn og Fjordane,Buskerud,Møre og Romsdal,Telemark,Aust-Agder,Oppland	Norwegian krone	Nynorsk,Sami languages,Bokmål,Norwegian Language			bv,no,sj	Norwegian Language	Monarchy,Parliamentary system,Constitutional monarchy	/m/0d7qqv5		47
Konbaung dynasty	/m/051px2				Shwebo,Sagaing,Amarapura,Mandalay,Ava											Monarchy			
Deutsches Reich	/m/01qlyt																		
French Guiana	/m/02x21		FRENCH GUIANA	FG	Cayenne				French Guiana										
England	/m/02jx1				London				South West England,Chilton,Dominion of New England,West Midlands,North East England,Little Gidding,East of England,South East England,Greater London,Yorkshire and the Humber,North West England,East Midlands	UK £	English Language			uk	British English,Early Modern English,Old English language	Devolution,Constitutional monarchy			
Song Dynasty	/m/0fpv5				Hangzhou,Kaifeng														
São Tomé and Príncipe	/m/0j681		SAO TOME AND PRINCIPE	TP	São Tomé				Príncipe,São Tomé Island	São Tomé and Príncipe escudo,São Tomé and Príncipe dobra	Portuguese Language			st	Portuguese Language	Republic,Representative democracy,Semi-presidential system	/m/0773_w5	São Tomé and Príncipe escudo	
Palau	/m/05tr7			PS						US$	Japanese Language,English Language,Palauan Language			pw		Presidential system,Representative democracy,Republic			
Dominican Republic	/m/027rn		DOMINICAN REPUBLIC	DR	Santo Domingo				Duarte,San José de Ocoa,El Seibo,María Trinidad Sánchez,La Vega,Puerto Plata,Barahona,Espaillat,Peravia,Sánchez Ramírez,Santiago,Monte Cristi,Elías Piña,Salcedo,Hato Mayor,Monte Plata,Dajabón,Independencia,Samaná,Santiago Rodríguez,La Romana,San Juan,Azua,Distrito Nacional,Monseñor Nouel,San Cristóbal,Santo Domingo,Baoruco,La Altagracia,San Pedro de Macorís,Pedernales,Valverde	Dominican peso	Spanish Language			do	Spanish Language	Democracy,Representative democracy,Presidential system			
Pahlavi dynasty	/m/01xv6t				Tehran											Government in exile			
Oldenburg	/m/022gbs																		
